Normal Distribution: Data size = 1000, Mean = 0.045593, Variance = 0.928037

-2.7076, -2.68957, -2.6467, -2.63737, -2.61845, -2.59484, -2.53599, -2.48057, -2.44413, -2.40313, -2.34965, -2.32588, -2.31626, -2.28163, -2.26092, 
-2.21045, -2.20993, -2.20826, -2.2034, -2.17778, -2.13198, -2.08859, -2.02664, -1.93976, -1.93884, -1.92709, -1.89709, -1.884, -1.8616, -1.84939, 
-1.83107, -1.80475, -1.79802, -1.76343, -1.73438, -1.7228, -1.72042, -1.71151, -1.70889, -1.67733, -1.67595, -1.6684, -1.65621, -1.65541, -1.65205, 
-1.6426, -1.62085, -1.60377, -1.58584, -1.58565, -1.57471, -1.56123, -1.56011, -1.55853, -1.55367, -1.54865, -1.53685, -1.53556, -1.5338, -1.49252, 
-1.49038, -1.48328, -1.47481, -1.47373, -1.4656, -1.44323, -1.44203, -1.42897, -1.42397, -1.42094, -1.41011, -1.40778, -1.40086, -1.39401, -1.38906, 
-1.38803, -1.38739, -1.3781, -1.37237, -1.3683, -1.35717, -1.35109, -1.33951, -1.33062, -1.32997, -1.32155, -1.31433, -1.30963, -1.30796, -1.30779, 
-1.27601, -1.26154, -1.25949, -1.25571, -1.23855, -1.23204, -1.1986, -1.19109, -1.18735, -1.17308, -1.16955, -1.16546, -1.16133, -1.15692, -1.15692, 
-1.15293, -1.14384, -1.13758, -1.13266, -1.13085, -1.12739, -1.12396, -1.1086, -1.09605, -1.09353, -1.07992, -1.07424, -1.0729, -1.06962, -1.06261, 
-1.05977, -1.04965, -1.02987, -1.02772, -1.02722, -1.01428, -1.01033, -1.00637, -1.0014, -0.987649, -0.987135, -0.985248, -0.982299, -0.981194, -0.974452, 
-0.973874, -0.969664, -0.964276, -0.957761, -0.957603, -0.957424, -0.956463, -0.956107, -0.956004, -0.947536, -0.944719, -0.940992, -0.929522, -0.926486, -0.925115, 
-0.924053, -0.913431, -0.910894, -0.909866, -0.907247, -0.906136, -0.905724, -0.904632, -0.900864, -0.897688, -0.889977, -0.881026, -0.861595, -0.857302, -0.855153, 
-0.853287, -0.852853, -0.85232, -0.848353, -0.846991, -0.846567, -0.841564, -0.840628, -0.839934, -0.836756, -0.830726, -0.828871, -0.826823, -0.82541, -0.822468, 
-0.81011, -0.810097, -0.80995, -0.808858, -0.801207, -0.800993, -0.799558, -0.796461, -0.796327, -0.794818, -0.786228, -0.773606, -0.769278, -0.759469, -0.756734, 
-0.75305, -0.746151, -0.737637, -0.736331, -0.727138, -0.716845, -0.715843, -0.714999, -0.714962, -0.71087, -0.710234, -0.695807, -0.692852, -0.690618, -0.688576, 
-0.68639, -0.686077, -0.685669, -0.683912, -0.679537, -0.676842, -0.675306, -0.673183, -0.672217, -0.671034, -0.670786, -0.669507, -0.66751, -0.662008, -0.661421, 
-0.65932, -0.659149, -0.656492, -0.65622, -0.655196, -0.653496, -0.651326, -0.649112, -0.646314, -0.646304, -0.644545, -0.640961, -0.636245, -0.629148, -0.626837, 
-0.621261, -0.620195, -0.614778, -0.614036, -0.611656, -0.605057, -0.601462, -0.597422, -0.592756, -0.586717, -0.585375, -0.582735, -0.579282, -0.578129, -0.577787, 
-0.576907, -0.570931, -0.569244, -0.566993, -0.564323, -0.563944, -0.560826, -0.55294, -0.546204, -0.541804, -0.534039, -0.524986, -0.518705, -0.514114, -0.512332, 
-0.504386, -0.504204, -0.503551, -0.50302, -0.502926, -0.497636, -0.497461, -0.496916, -0.496579, -0.495835, -0.493784, -0.492388, -0.489915, -0.488781, -0.475558, 
-0.475456, -0.471133, -0.470285, -0.467452, -0.466751, -0.466568, -0.465313, -0.463893, -0.45916, -0.457888, -0.456146, -0.453171, -0.448987, -0.446352, -0.440871, 
-0.434147, -0.433105, -0.430406, -0.428774, -0.422949, -0.422554, -0.42117, -0.412599, -0.411358, -0.406463, -0.404467, -0.402365, -0.393843, -0.390535, -0.387119, 
-0.377537, -0.376177, -0.374013, -0.373353, -0.370262, -0.366693, -0.364915, -0.364109, -0.358647, -0.357598, -0.354587, -0.352589, -0.3488, -0.348168, -0.346191, 
-0.345896, -0.34519, -0.342641, -0.342071, -0.341861, -0.33523, -0.331606, -0.326233, -0.323086, -0.32158, -0.321426, -0.316316, -0.311925, -0.30945, -0.308337, 
-0.307255, -0.303815, -0.299543, -0.298636, -0.298202, -0.290731, -0.288883, -0.28844, -0.285903, -0.282253, -0.281847, -0.279784, -0.279028, -0.276777, -0.27459, 
-0.274438, -0.274078, -0.273797, -0.273039, -0.27206, -0.269506, -0.263398, -0.259558, -0.257833, -0.257305, -0.256179, -0.254628, -0.253811, -0.253396, -0.25182, 
-0.251722, -0.249024, -0.247098, -0.238406, -0.228948, -0.22548, -0.222993, -0.221923, -0.221284, -0.21662, -0.2161, -0.212101, -0.201913, -0.200602, -0.19869, 
-0.198065, -0.196615, -0.194113, -0.191966, -0.189129, -0.177681, -0.17684, -0.170238, -0.169722, -0.167117, -0.164102, -0.159726, -0.159656, -0.158284, -0.157598, 
-0.152489, -0.150646, -0.144161, -0.132421, -0.125616, -0.115967, -0.111709, -0.108703, -0.105092, -0.104718, -0.104709, -0.0998135, -0.0990908, -0.0989925, -0.0987633, 
